id,name,image,subtitle,url,created_at
1216,bloodline,https://c.saavncdn.com/980/thank-u-next-English-2019-20190207231715-150x150.jpg,"Ariana Grande - thank u, next",https://aac.saavncdn.com/980/2dcaff0ca8588ac797c1bb095ab05d1b_160.mp4,2024-02-03 15:28:53.156651+00
5,Blinding Lights,https://c.saavncdn.com/571/Blinding-Lights-English-2019-20221125020721-150x150.jpg,Bryan Moore - Blinding Lights,https://aac.saavncdn.com/571/f1138d94d17e6c6c066d1d1e82de3431_160.mp4,2024-01-15 08:24:14.117894+00
6,Blinding Lights,https://c.saavncdn.com/312/Blinding-Lights-English-2021-20210916194513-150x150.jpg,Loi - Blinding Lights,https://aac.saavncdn.com/312/d0c6d229f16211996d11ca467be0511b_160.mp4,2024-01-15 08:24:14.125937+00
7,"Blinding Lights (From ""Ms. Marvel TV Trailer"")",https://c.saavncdn.com/665/Blinding-Lights-From-Ms-Marvel-TV-Trailer--English-2022-20220318190549-150x150.jpg,"Geek Music - Blinding Lights (From ""Ms. Marvel TV Trailer"")",https://aac.saavncdn.com/665/2678ca702ff9ba9287cb6e7261f3e4ac_160.mp4,2024-01-15 08:24:14.147612+00
8,Blinding Lights,https://c.saavncdn.com/396/The-Highlights-English-2021-20231221204236-150x150.jpg,The Weeknd - The Highlights,https://aac.saavncdn.com/396/ed75c7c837ae204a76cb0c9c4c4c60ab_160.mp4,2024-01-15 08:24:14.145743+00
9,Blinding Lights (Instrumental),https://c.saavncdn.com/820/Blinding-Lights-English-2020-20200912094411-150x150.jpg,The Weeknd - Blinding Lights,https://aac.saavncdn.com/820/33aa45a3f2219fe591e83f11d984266a_160.mp4,2024-01-15 08:24:14.145505+00
10,Blinding Lights [Workout Mix 110 bpm],https://c.saavncdn.com/209/Gym-Workout-Playlist-Remixed-for-Fitness-English-2022-20220428044608-150x150.jpg,Vuducru - Gym Workout Playlist - Remixed for Fitness!,https://aac.saavncdn.com/209/a99145d22de86edd3bab661e3cdd5c46_160.mp4,2024-01-15 08:24:14.154888+00
11,Blinding Lights (Chromatics Remix),https://c.saavncdn.com/820/Blinding-Lights-English-2020-20200912094411-150x150.jpg,The Weeknd ft. Chromatics - Blinding Lights,https://aac.saavncdn.com/820/df8dcb6d8238386e703ef088041eee71_160.mp4,2024-01-15 08:24:14.156929+00
12,Blinding Lights (Major Lazer Remix),https://c.saavncdn.com/294/Blinding-Lights-Major-Lazer-Remix--English-2020-20200415042129-150x150.jpg,The Weeknd ft. Major Lazer - Blinding Lights (Major Lazer Remix),https://aac.saavncdn.com/294/37afe637f60b3ae46361fca65d3cc053_160.mp4,2024-01-15 08:24:14.257117+00
13,Blinding Lights (Acoustic),https://c.saavncdn.com/716/Blinding-Lights-Acoustic--English-2021-20210208203754-150x150.jpg,Music Travel Love - Blinding Lights (Acoustic),https://aac.saavncdn.com/716/c3837f1cbfa99186b60ab873bbe4d0a2_160.mp4,2024-01-15 08:24:14.257921+00
14,Blinding Lights (Major Lazer Remix),https://c.saavncdn.com/820/Blinding-Lights-English-2020-20200912094411-150x150.jpg,The Weeknd ft. Major Lazer - Blinding Lights,https://aac.saavncdn.com/820/9618d75d833a4c41f52d0238bb68055d_160.mp4,2024-01-15 08:24:14.153351+00
15,Blinding Lights (Instrumental),https://c.saavncdn.com/745/Blinding-Lights-Instrumental--English-2020-20200912091904-150x150.jpg,The Weeknd - Blinding Lights (Instrumental),https://aac.saavncdn.com/745/644d92725e6e0d44e5bdd7236d3a7166_160.mp4,2024-01-15 08:24:14.309321+00
16,Blinding Lights (Remix),https://c.saavncdn.com/092/Blinding-Lights-Remix--English-2020-20201204120030-150x150.jpg,"The Weeknd, Rosalia - Blinding Lights (Remix)",https://aac.saavncdn.com/092/471e1c339d5f4d069bc67a8f32d8f5f1_160.mp4,2024-01-15 08:24:14.310428+00
17,Blinding Lights (I'm Blinded by the Lights) [Originally Performed by the Weeknd],https://c.saavncdn.com/239/Global-Domain-Vol-4-English-2019-20191212205800-150x150.jpg,"Kimber Ross - Global Domain, Vol. 4",https://aac.saavncdn.com/239/32402fb36db483785bebdb9361b5f596_160.mp4,2024-01-15 08:24:14.316136+00
18,Blinding Lights (Originally Performed By The Weekend) (Karaoke Version),https://c.saavncdn.com/207/Blinding-Lights-Originally-Performed-By-The-Weekend-Karaoke-Version--Unknown-2020-20220330051524-150x150.jpg,Urock Karaoke - Blinding Lights (Originally Performed By The Weekend) (Karaoke Version),https://aac.saavncdn.com/207/cd89bc422645d4d61b316d1e3b9600d3_160.mp4,2024-01-15 08:24:14.321616+00
19,Blinding Lights,https://c.saavncdn.com/512/Blinding-Lights-English-2023-20230108023230-150x150.jpg,"Vancouver Sleep Clinic, Pop Goes Ambient ft. Amelia Magdalena - Blinding Lights",https://aac.saavncdn.com/512/42eb743aa355c489f9b436ce35b2353b_160.mp4,2024-01-15 08:24:14.342391+00
20,Blinding Lights,https://c.saavncdn.com/939/Blinding-Lights-English-2021-20210309053442-150x150.jpg,X Ambassadors - Blinding Lights,https://aac.saavncdn.com/939/57aa84773688c6c823c8741762000072_160.mp4,2024-01-15 08:24:14.366327+00
